Benchmark,Language,Energy (Joules),Time (Seconds),Input
Sorting-remove_duplicates,C,21.89,1.647,Small
Sorting-remove_duplicates,C,20.623,1.608,Small
Sorting-remove_duplicates,C,21.521,1.635,Small
Sorting-remove_duplicates,C,20.315,1.536,Small
Sorting-remove_duplicates,C,19.546,1.487,Small
Sorting-remove_duplicates,C,20.345,1.564,Small
Sorting-remove_duplicates,C,19.546,1.58,Small
Sorting-remove_duplicates,C,19.27,1.517,Small
Sorting-remove_duplicates,C,20.558,1.563,Small
Sorting-remove_duplicates,C,20.639,1.604,Small
Sorting-remove_duplicates,C,21.107,1.605,Small
Sorting-remove_duplicates,C,20.182,1.456,Small
Sorting-remove_duplicates,C,20.405,1.552,Small
Sorting-remove_duplicates,C,20.062,1.507,Small
Sorting-remove_duplicates,C,18.304,1.436,Small
Sorting-remove_duplicates,C,19.121,1.513,Small
Sorting-remove_duplicates,C,19.295,1.525,Small
Sorting-remove_duplicates,C,20.225,1.56,Small
Sorting-remove_duplicates,C,23.921,1.552,Small
Sorting-remove_duplicates,C,22.475,1.728,Small
Sorting-remove_duplicates,WASM,45.398,2.24,Small
Sorting-remove_duplicates,WASM,56.825,2.512,Small
Sorting-remove_duplicates,WASM,51.094,2.424,Small
Sorting-remove_duplicates,WASM,43.366,1.966,Small
Sorting-remove_duplicates,WASM,59.679,2.606,Small
Sorting-remove_duplicates,WASM,50.992,2.403,Small
Sorting-remove_duplicates,WASM,67.338,2.882,Small
Sorting-remove_duplicates,WASM,48.047,2.098,Small
Sorting-remove_duplicates,WASM,52.859,2.522,Small
Sorting-remove_duplicates,WASM,60.108,2.559,Small
Sorting-remove_duplicates,WASM,49.043,2.263,Small
Sorting-remove_duplicates,WASM,61.667,2.58,Small
Sorting-remove_duplicates,WASM,47.478,2.245,Small
Sorting-remove_duplicates,WASM,59.996,2.538,Small
Sorting-remove_duplicates,WASM,43.437,2.008,Small
Sorting-remove_duplicates,WASM,58.034,2.629,Small
Sorting-remove_duplicates,WASM,52.071,2.047,Small
Sorting-remove_duplicates,WASM,52.652,2.506,Small
Sorting-remove_duplicates,WASM,54.155,2.267,Small
Sorting-remove_duplicates,WASM,52.605,2.635,Small
Sorting-remove_duplicates,JS,74.38,3.328,Small
Sorting-remove_duplicates,JS,47.571,2.119,Small
Sorting-remove_duplicates,JS,66.109,2.912,Small
Sorting-remove_duplicates,JS,50.62,2.416,Small
Sorting-remove_duplicates,JS,54.484,2.398,Small
Sorting-remove_duplicates,JS,63.944,2.947,Small
Sorting-remove_duplicates,JS,41.338,1.789,Small
Sorting-remove_duplicates,JS,69.806,3.148,Small
Sorting-remove_duplicates,JS,49.228,2.21,Small
Sorting-remove_duplicates,JS,58.372,2.545,Small
Sorting-remove_duplicates,JS,52.274,2.322,Small
Sorting-remove_duplicates,JS,48.612,2.235,Small
Sorting-remove_duplicates,JS,66.042,2.843,Small
Sorting-remove_duplicates,JS,45.012,2.085,Small
Sorting-remove_duplicates,JS,70.826,3.124,Small
Sorting-remove_duplicates,JS,48.438,2.312,Small
Sorting-remove_duplicates,JS,53.403,2.259,Small
Sorting-remove_duplicates,JS,60.437,2.647,Small
Sorting-remove_duplicates,JS,50.072,2.203,Small
Sorting-remove_duplicates,JS,66.795,2.731,Small
Sorting-remove_duplicates,C,34.721,2.281,Medium
Sorting-remove_duplicates,C,41.54,2.878,Medium
Sorting-remove_duplicates,C,41.532,2.767,Medium
Sorting-remove_duplicates,C,44.41,3.011,Medium
Sorting-remove_duplicates,C,40.577,2.7,Medium
Sorting-remove_duplicates,C,41.116,2.725,Medium
Sorting-remove_duplicates,C,41.695,2.742,Medium
Sorting-remove_duplicates,C,40.465,2.694,Medium
Sorting-remove_duplicates,C,41.291,2.804,Medium
Sorting-remove_duplicates,C,44.713,3.01,Medium
Sorting-remove_duplicates,C,43.719,2.98,Medium
Sorting-remove_duplicates,C,43.682,2.915,Medium
Sorting-remove_duplicates,C,40.815,2.858,Medium
Sorting-remove_duplicates,C,42.353,2.834,Medium
Sorting-remove_duplicates,C,43.991,2.957,Medium
Sorting-remove_duplicates,C,43.825,2.925,Medium
Sorting-remove_duplicates,C,42.22,2.82,Medium
Sorting-remove_duplicates,C,40.821,2.712,Medium
Sorting-remove_duplicates,C,41.165,2.728,Medium
Sorting-remove_duplicates,C,43.923,2.928,Medium
Sorting-remove_duplicates,WASM,93.827,4.073,Medium
Sorting-remove_duplicates,WASM,99.633,4.22,Medium
Sorting-remove_duplicates,WASM,97.612,4.164,Medium
Sorting-remove_duplicates,WASM,94.228,3.819,Medium
Sorting-remove_duplicates,WASM,103.449,4.304,Medium
Sorting-remove_duplicates,WASM,91.188,3.769,Medium
Sorting-remove_duplicates,WASM,103.354,4.282,Medium
Sorting-remove_duplicates,WASM,97.988,4.08,Medium
Sorting-remove_duplicates,WASM,104.236,4.296,Medium
Sorting-remove_duplicates,WASM,95.813,4.16,Medium
Sorting-remove_duplicates,WASM,94.187,4.04,Medium
Sorting-remove_duplicates,WASM,94.467,3.851,Medium
Sorting-remove_duplicates,WASM,86.512,3.578,Medium
Sorting-remove_duplicates,WASM,93.345,4.041,Medium
Sorting-remove_duplicates,WASM,104.324,4.388,Medium
Sorting-remove_duplicates,WASM,100.782,4.4,Medium
Sorting-remove_duplicates,WASM,97.914,4.083,Medium
Sorting-remove_duplicates,WASM,96.714,4.12,Medium
Sorting-remove_duplicates,WASM,99.421,4.224,Medium
Sorting-remove_duplicates,WASM,91.775,3.819,Medium
Sorting-remove_duplicates,JS,96.57,4.257,Medium
Sorting-remove_duplicates,JS,96.612,4.133,Medium
Sorting-remove_duplicates,JS,103.863,4.411,Medium
Sorting-remove_duplicates,JS,92.052,3.897,Medium
Sorting-remove_duplicates,JS,94.857,3.849,Medium
Sorting-remove_duplicates,JS,97.367,4.051,Medium
Sorting-remove_duplicates,JS,102.683,4.318,Medium
Sorting-remove_duplicates,JS,96.19,3.98,Medium
Sorting-remove_duplicates,JS,99.436,4.155,Medium
Sorting-remove_duplicates,JS,105.656,4.395,Medium
Sorting-remove_duplicates,JS,96.615,4.004,Medium
Sorting-remove_duplicates,JS,105.528,4.514,Medium
Sorting-remove_duplicates,JS,94.337,3.926,Medium
Sorting-remove_duplicates,JS,99.092,4.336,Medium
Sorting-remove_duplicates,JS,101.569,4.328,Medium
Sorting-remove_duplicates,JS,102.535,4.227,Medium
Sorting-remove_duplicates,JS,102.46,4.141,Medium
Sorting-remove_duplicates,JS,97.626,4.061,Medium
Sorting-remove_duplicates,JS,103.879,4.43,Medium
Sorting-remove_duplicates,JS,104.832,4.408,Medium
Sorting-remove_duplicates,C,88.809,5.822,Large
Sorting-remove_duplicates,C,91.769,5.761,Large
Sorting-remove_duplicates,C,91.475,5.749,Large
Sorting-remove_duplicates,C,90.261,5.763,Large
Sorting-remove_duplicates,C,93.529,5.964,Large
Sorting-remove_duplicates,C,94.398,6.008,Large
Sorting-remove_duplicates,C,90.549,5.748,Large
Sorting-remove_duplicates,C,96.63,6.094,Large
Sorting-remove_duplicates,C,90.427,5.827,Large
Sorting-remove_duplicates,C,93.815,6.001,Large
Sorting-remove_duplicates,C,96.965,5.978,Large
Sorting-remove_duplicates,C,91.895,5.763,Large
Sorting-remove_duplicates,C,90.235,5.657,Large
Sorting-remove_duplicates,C,94.132,5.844,Large
Sorting-remove_duplicates,C,96.999,6.005,Large
Sorting-remove_duplicates,C,92.168,5.768,Large
Sorting-remove_duplicates,C,92.241,5.807,Large
Sorting-remove_duplicates,C,96.232,6.043,Large
Sorting-remove_duplicates,C,93.751,5.863,Large
Sorting-remove_duplicates,C,92.855,5.848,Large
Sorting-remove_duplicates,WASM,184.077,7.537,Large
Sorting-remove_duplicates,WASM,184.99,7.79,Large
Sorting-remove_duplicates,WASM,178.744,7.233,Large
Sorting-remove_duplicates,WASM,192.488,8.419,Large
Sorting-remove_duplicates,WASM,172.881,7.849,Large
Sorting-remove_duplicates,WASM,172.791,7.796,Large
Sorting-remove_duplicates,WASM,189.128,8.93,Large
Sorting-remove_duplicates,WASM,176.201,8.063,Large
Sorting-remove_duplicates,WASM,169.057,7.528,Large
Sorting-remove_duplicates,WASM,179.888,8.317,Large
Sorting-remove_duplicates,WASM,178.569,8.289,Large
Sorting-remove_duplicates,WASM,174.796,8.048,Large
Sorting-remove_duplicates,WASM,172.174,7.779,Large
Sorting-remove_duplicates,WASM,182.689,8.514,Large
Sorting-remove_duplicates,WASM,184.258,8.626,Large
Sorting-remove_duplicates,WASM,176.597,8.091,Large
Sorting-remove_duplicates,WASM,173.101,7.827,Large
Sorting-remove_duplicates,WASM,173.422,7.803,Large
Sorting-remove_duplicates,WASM,174.057,7.967,Large
Sorting-remove_duplicates,WASM,175.944,8.103,Large
Sorting-remove_duplicates,JS,192.112,8.267,Large
Sorting-remove_duplicates,JS,177.261,7.419,Large
Sorting-remove_duplicates,JS,199.197,8.234,Large
Sorting-remove_duplicates,JS,188.879,7.66,Large
Sorting-remove_duplicates,JS,190.902,8.059,Large
Sorting-remove_duplicates,JS,185.88,8.727,Large
Sorting-remove_duplicates,JS,177.836,8.196,Large
Sorting-remove_duplicates,JS,180.832,8.4,Large
Sorting-remove_duplicates,JS,181.685,8.456,Large
Sorting-remove_duplicates,JS,185.731,8.663,Large
Sorting-remove_duplicates,JS,179.597,8.319,Large
Sorting-remove_duplicates,JS,168.789,7.497,Large
Sorting-remove_duplicates,JS,175.779,7.965,Large
Sorting-remove_duplicates,JS,183.399,8.54,Large
Sorting-remove_duplicates,JS,177.841,8.147,Large
Sorting-remove_duplicates,JS,174.826,7.987,Large
Sorting-remove_duplicates,JS,176.712,8.093,Large
Sorting-remove_duplicates,JS,175.834,8.032,Large
Sorting-remove_duplicates,JS,183.042,8.597,Large
Sorting-remove_duplicates,JS,176.37,8.069,Large
Sorting-quick,C,10.244,0.869,Small
Sorting-quick,C,10.309,0.903,Small
Sorting-quick,C,9.423,0.804,Small
Sorting-quick,C,9.98,0.813,Small
Sorting-quick,C,10.288,0.896,Small
Sorting-quick,C,10.461,0.875,Small
Sorting-quick,C,9.708,0.788,Small
Sorting-quick,C,9.357,0.793,Small
Sorting-quick,C,9.784,0.866,Small
Sorting-quick,C,8.708,0.747,Small
Sorting-quick,C,9.731,0.848,Small
Sorting-quick,C,10.223,0.883,Small
Sorting-quick,C,10.447,0.886,Small
Sorting-quick,C,10.446,0.876,Small
Sorting-quick,C,9.684,0.835,Small
Sorting-quick,C,9.999,0.856,Small
Sorting-quick,C,10.886,0.891,Small
Sorting-quick,C,9.953,0.831,Small
Sorting-quick,C,10.854,0.895,Small
Sorting-quick,C,10.075,0.838,Small
Sorting-quick,WASM,21.59,1.56,Small
Sorting-quick,WASM,20.097,1.414,Small
Sorting-quick,WASM,20.936,1.473,Small
Sorting-quick,WASM,20.394,1.452,Small
Sorting-quick,WASM,20.047,1.455,Small
Sorting-quick,WASM,20.917,1.474,Small
Sorting-quick,WASM,21.568,1.517,Small
Sorting-quick,WASM,19.968,1.416,Small
Sorting-quick,WASM,20.967,1.509,Small
Sorting-quick,WASM,20.843,1.478,Small
Sorting-quick,WASM,21.103,1.536,Small
Sorting-quick,WASM,21.719,1.569,Small
Sorting-quick,WASM,19.798,1.406,Small
Sorting-quick,WASM,22.765,1.616,Small
Sorting-quick,WASM,20.124,1.416,Small
Sorting-quick,WASM,19.97,1.426,Small
Sorting-quick,WASM,21.923,1.556,Small
Sorting-quick,WASM,20.104,1.458,Small
Sorting-quick,WASM,22.54,1.611,Small
Sorting-quick,WASM,21.279,1.517,Small
Sorting-quick,JS,22.492,1.515,Small
Sorting-quick,JS,24.547,1.647,Small
Sorting-quick,JS,21.905,1.528,Small
Sorting-quick,JS,20.68,1.462,Small
Sorting-quick,JS,23.033,1.598,Small
Sorting-quick,JS,21.574,1.465,Small
Sorting-quick,JS,22.272,1.558,Small
Sorting-quick,JS,21.684,1.474,Small
Sorting-quick,JS,21.706,1.496,Small
Sorting-quick,JS,22.723,1.57,Small
Sorting-quick,JS,21.956,1.495,Small
Sorting-quick,JS,22.468,1.508,Small
Sorting-quick,JS,23.114,1.575,Small
Sorting-quick,JS,21.997,1.463,Small
Sorting-quick,JS,23.87,1.619,Small
Sorting-quick,JS,23.927,1.578,Small
Sorting-quick,JS,22.915,1.57,Small
Sorting-quick,JS,23.07,1.573,Small
Sorting-quick,JS,22.568,1.572,Small
Sorting-quick,JS,23.269,1.633,Small
Sorting-quick,C,30.196,2.303,Medium
Sorting-quick,C,27.477,2.143,Medium
Sorting-quick,C,28.69,2.141,Medium
Sorting-quick,C,27.993,2.062,Medium
Sorting-quick,C,28.672,2.12,Medium
Sorting-quick,C,27.431,2.081,Medium
Sorting-quick,C,29.779,2.19,Medium
Sorting-quick,C,29.079,2.161,Medium
Sorting-quick,C,28.492,2.091,Medium
Sorting-quick,C,29.084,2.18,Medium
Sorting-quick,C,28.337,2.092,Medium
Sorting-quick,C,28.854,2.125,Medium
Sorting-quick,C,28.784,2.085,Medium
Sorting-quick,C,28.373,2.1,Medium
Sorting-quick,C,27.647,2.085,Medium
Sorting-quick,C,26.112,1.946,Medium
Sorting-quick,C,28.947,2.167,Medium
Sorting-quick,C,30.083,2.203,Medium
Sorting-quick,C,28.382,2.134,Medium
Sorting-quick,C,27.389,2.044,Medium
Sorting-quick,WASM,47.538,3.171,Medium
Sorting-quick,WASM,48.697,3.151,Medium
Sorting-quick,WASM,50.834,3.413,Medium
Sorting-quick,WASM,50.359,3.265,Medium
Sorting-quick,WASM,50.74,3.228,Medium
Sorting-quick,WASM,50.224,3.231,Medium
Sorting-quick,WASM,47.529,3.157,Medium
Sorting-quick,WASM,50.907,3.286,Medium
Sorting-quick,WASM,49.424,3.237,Medium
Sorting-quick,WASM,48.732,3.152,Medium
Sorting-quick,WASM,48.825,3.219,Medium
Sorting-quick,WASM,51.66,3.395,Medium
Sorting-quick,WASM,48.876,3.229,Medium
Sorting-quick,WASM,48.974,3.165,Medium
Sorting-quick,WASM,47.165,3.153,Medium
Sorting-quick,WASM,50.041,3.148,Medium
Sorting-quick,WASM,50.83,3.261,Medium
Sorting-quick,WASM,47.828,3.133,Medium
Sorting-quick,WASM,47.191,3.064,Medium
Sorting-quick,WASM,50.666,3.265,Medium
Sorting-quick,JS,52.435,3.44,Medium
Sorting-quick,JS,49.032,3.195,Medium
Sorting-quick,JS,47.665,3.208,Medium
Sorting-quick,JS,50.193,3.286,Medium
Sorting-quick,JS,50.264,3.264,Medium
Sorting-quick,JS,49.359,3.264,Medium
Sorting-quick,JS,50.012,3.302,Medium
Sorting-quick,JS,49.409,3.236,Medium
Sorting-quick,JS,49.654,3.205,Medium
Sorting-quick,JS,50.463,3.243,Medium
Sorting-quick,JS,49.079,3.249,Medium
Sorting-quick,JS,50.455,3.24,Medium
Sorting-quick,JS,48.83,3.213,Medium
Sorting-quick,JS,54.019,3.419,Medium
Sorting-quick,JS,52.528,3.348,Medium
Sorting-quick,JS,49.136,3.196,Medium
Sorting-quick,JS,50.535,3.227,Medium
Sorting-quick,JS,50.635,3.335,Medium
Sorting-quick,JS,51.251,3.248,Medium
Sorting-quick,JS,52.291,3.273,Medium
Sorting-quick,C,58.6,3.994,Large
Sorting-quick,C,63.771,4.27,Large
Sorting-quick,C,60.605,4.088,Large
Sorting-quick,C,62.828,4.209,Large
Sorting-quick,C,59.576,4.037,Large
Sorting-quick,C,59.017,4.02,Large
Sorting-quick,C,61.761,4.178,Large
Sorting-quick,C,60.322,4.069,Large
Sorting-quick,C,59.015,3.945,Large
Sorting-quick,C,60.025,4.041,Large
Sorting-quick,C,60.99,4.041,Large
Sorting-quick,C,63.984,4.223,Large
Sorting-quick,C,59.059,4,Large
Sorting-quick,C,60.89,4.1,Large
Sorting-quick,C,61.337,4.145,Large
Sorting-quick,C,63.557,4.175,Large
Sorting-quick,C,60.933,4.135,Large
Sorting-quick,C,62.414,4.182,Large
Sorting-quick,C,62.073,4.11,Large
Sorting-quick,C,61.6,4.05,Large
Sorting-quick,WASM,96.919,6.074,Large
Sorting-quick,WASM,99.655,6.061,Large
Sorting-quick,WASM,94.483,5.804,Large
Sorting-quick,WASM,97.687,6.006,Large
Sorting-quick,WASM,98.482,5.968,Large
Sorting-quick,WASM,97.135,5.968,Large
Sorting-quick,WASM,97.466,5.972,Large
Sorting-quick,WASM,96.905,5.925,Large
Sorting-quick,WASM,95.971,5.88,Large
Sorting-quick,WASM,96.65,5.994,Large
Sorting-quick,WASM,98.585,6.013,Large
Sorting-quick,WASM,97.757,5.991,Large
Sorting-quick,WASM,96.674,5.938,Large
Sorting-quick,WASM,97.857,5.964,Large
Sorting-quick,WASM,95.919,5.893,Large
Sorting-quick,WASM,100.964,6.126,Large
Sorting-quick,WASM,98.038,5.935,Large
Sorting-quick,WASM,98.929,5.973,Large
Sorting-quick,WASM,99.263,5.989,Large
Sorting-quick,WASM,101.665,6.11,Large
Sorting-quick,JS,93.811,6.025,Large
Sorting-quick,JS,95.722,5.912,Large
Sorting-quick,JS,97.456,6.122,Large
Sorting-quick,JS,98.409,5.984,Large
Sorting-quick,JS,99.804,6.191,Large
Sorting-quick,JS,99.863,6.053,Large
Sorting-quick,JS,97.82,5.913,Large
Sorting-quick,JS,95.476,5.788,Large
Sorting-quick,JS,99.457,6.128,Large
Sorting-quick,JS,96.365,5.928,Large
Sorting-quick,JS,95.978,5.9,Large
Sorting-quick,JS,97.62,5.978,Large
Sorting-quick,JS,100.725,6.1,Large
Sorting-quick,JS,100.478,6.005,Large
Sorting-quick,JS,101.253,6.069,Large
Sorting-quick,JS,100.456,6.04,Large
Sorting-quick,JS,100.964,6.069,Large
Sorting-quick,JS,99.502,5.947,Large
Sorting-quick,JS,100.426,6.022,Large
Sorting-quick,JS,99.753,5.937,Large
Sorting-natural,C,56.553,3.78,Small
Sorting-natural,C,64.641,4.356,Small
Sorting-natural,C,63.638,4.243,Small
Sorting-natural,C,62.92,4.401,Small
Sorting-natural,C,66.858,4.545,Small
Sorting-natural,C,63.632,4.338,Small
Sorting-natural,C,63.232,4.244,Small
Sorting-natural,C,65.967,4.322,Small
Sorting-natural,C,63.909,4.162,Small
Sorting-natural,C,62.805,4.262,Small
Sorting-natural,C,67.284,4.447,Small
Sorting-natural,C,63.731,4.237,Small
Sorting-natural,C,64.604,4.27,Small
Sorting-natural,C,67.93,4.379,Small
Sorting-natural,C,63.459,4.267,Small
Sorting-natural,C,66.739,4.475,Small
Sorting-natural,C,65.29,4.443,Small
Sorting-natural,C,65.912,4.212,Small
Sorting-natural,C,65.979,4.494,Small
Sorting-natural,C,63.251,4.358,Small
Sorting-natural,WASM,150.69,6.937,Small
Sorting-natural,WASM,179.122,7.895,Small
Sorting-natural,WASM,151.645,6.722,Small
Sorting-natural,WASM,154.927,6.788,Small
Sorting-natural,WASM,157.916,7.01,Small
Sorting-natural,WASM,163.553,6.927,Small
Sorting-natural,WASM,161.554,7.126,Small
Sorting-natural,WASM,167.157,7.611,Small
Sorting-natural,WASM,166.06,7.657,Small
Sorting-natural,WASM,154.762,6.902,Small
Sorting-natural,WASM,153.124,6.768,Small
Sorting-natural,WASM,163.201,7.5,Small
Sorting-natural,WASM,153.75,6.785,Small
Sorting-natural,WASM,157.544,7.094,Small
Sorting-natural,WASM,155.675,6.905,Small
Sorting-natural,WASM,165.146,7.562,Small
Sorting-natural,WASM,149.267,6.682,Small
Sorting-natural,WASM,158.941,7.042,Small
Sorting-natural,WASM,154.796,6.889,Small
Sorting-natural,WASM,152.586,6.775,Small
Sorting-natural,JS,162.219,7.513,Small
Sorting-natural,JS,152.97,6.73,Small
Sorting-natural,JS,159.908,6.877,Small
Sorting-natural,JS,169.014,7.502,Small
Sorting-natural,JS,167.313,7.3,Small
Sorting-natural,JS,167.632,7.555,Small
Sorting-natural,JS,173.043,7.485,Small
Sorting-natural,JS,171.195,8.015,Small
Sorting-natural,JS,164.545,7.491,Small
Sorting-natural,JS,157.309,6.991,Small
Sorting-natural,JS,172.842,8.066,Small
Sorting-natural,JS,170.328,7.95,Small
Sorting-natural,JS,162.303,7.388,Small
Sorting-natural,JS,167.408,7.772,Small
Sorting-natural,JS,169.88,7.854,Small
Sorting-natural,JS,163.89,7.455,Small
Sorting-natural,JS,159.176,7.224,Small
Sorting-natural,JS,169.144,7.92,Small
Sorting-natural,JS,158.338,7.108,Small
Sorting-natural,JS,164.046,7.555,Small
Sorting-natural,C,123.348,8.316,Medium
Sorting-natural,C,123.083,8.206,Medium
Sorting-natural,C,135.793,8.826,Medium
Sorting-natural,C,133.935,8.927,Medium
Sorting-natural,C,136.464,9.259,Medium
Sorting-natural,C,135.913,8.925,Medium
